store,store_id
3001,NP_GGN_S14_001
3002,NP_GGN_ROF_002
3003,NP_GGN_VAT_003
3004,NP_GGN_S83_004
3005,NP_GGN_ROS_005
3006,NP_JPR_SBN_011
3007,NP_JPR_RJP_008
3008,NP_JPR_JRN_007
3009,NP_JPR_DGP_009
3010,NP_DEL_GTB_006
3012,NP_CCU_BBR_001
3013,NP_JPR_MAN_014
3014,NP_NDA_S45_012
3015,NP_JPR_SMN_010
3016,NP_NDA_S137_013
3017,NP_GGN_CPG_17
3018,NP_NDA_S16C_15
3019,NP_GZB_RAJ_20
3020,NP_JPR_SIRI_16
3021,NP_DDN_RCC_021
3022,NP_DEL_MYV_18
3023,NP_FDB_S34_19
3025,NP_CCU_BNG_2
3026,NP_GGN_S69_024
3027,NP_FDB_NIT_047
3030,NP_CCU_RAB_005
3032,NP_FDB_SAI_044
3033,NP_GZB_VAI_043
3034,NP_JPR_MVN_048
3035,NP_GGN_QPZ_34
3037,NP_GGN_S23_33
3038,NP_GGN_ARC_40
3040,NP_GGN_SLK_37
3041,NP_DEL_PAS_26
3042,NP_DEL_EPN_25
3043,NP_GGN_GAL_32
3044,NP_GGN_S46_046
3045,NP_DDN_KIS_022
3046,NP_DDN_VAS_023
3049,NP_GGN_S31_38
3050,NP_CCU_CPK_004
3057,NP_GGN_PAL_39
3058,NP_GGN_S15_35
3059,NP_NDA_S62_42
3060,NP_NDA_110_41
3061,NP_FDB_S88_045
3062,NP_CCU_CEN_003
3063,NP_GGN_S56_029
3064,NP_CCU_TOL_006
3065,NP_DDN_JAK_050
3066,NP_GZB_INP_049
3069,1MG_S72_01
3070,1MG_S81_01
3071,1MG_S37_01
3072,1MG_S07_01
3073,1MG_S49_01
3075,1MG_S95_01
3076,1MG_PMV_01
3077,1MG_107_01
3078,1MG_S74_01
3079,1MG_S22_01
3080,1MG_S04_01
3081,1MG_137_01
3083,1MG_WP2_01
3084,1MG_S16_01
3085,1MG_120_01
3087,1MG_VK2_01
3087,Not Live
3088,1MG_128_01
3089,1MG_GRN_01
3090,1MG_S08_01
3091,1MG_JKP_01
3094,1MG_NK1_01
3095,1MG_SEB_01
3095,Not Live
3097,1MG_SDM_01
3098,1MG_IDN_01
3099,1MG_RKK_01
3101,1MG_VKN_01
3104,1MG_GLB_01
3109,1MG_PTN_01
3110,1MG_DTR_01
3111,1MG_S20_01
3112,1MG_PII_01
3113,1MG_AMN_01
3115,1MG_S47_01
3116,1MG_TOT_01
3119,1MG_SD1_01
3120,1MG_JPM_01
3121,1MG_VHN_01
3123,Not Live
3125,1MG_JPT_01
3126,1MG_VPM_01
3128,1MG_MVI_01
3129,1MG_VSN_01
3132,1MG_STR_01
3133,1MG_109_01
3136,1MG_MVN_01
3137,1MG_NHG_01
3139,1MG_JGT_01
3140,1MG_LAL_01
3141,1MG_M3M_01
3142,1MG_SNY_01
3144,1MG_CRD_01
3145,1MG_SWP_01
3146,1MG_ANS_01
3147,1MG_S12_01
3148,1MG_ILC_01
3148,Not Live
3149,1MG_VIN_01
3151,1MG_GPP_01
3152,1MG_DSN_01
3153,1MG_DDM_01
3154,1MG_JHR_01
3155,1MG_BCE_01
3156,1MG_HKR_01
3157,1MG_RPM_01
3158,1MG_LTN_01
3159,1MG_CPH_01
3160,1MG_GHC_01
3162,1MG_INC_01
3163,1MG_CKS_01
3164,1MG_WRP_01
3165,1MG_FTC_01
3166,1MG_SVN_01
3167,1MG_BDS_01
3168,1MG_SRB_01
3169,1MG_MCI_01
3170,1MG_FRB_01
3171,1MG_NRN_01
3173,Not Live
3173,1MG_KCG_01
3174,1MG_SDB_01
3174,Not Live
3175,1MG_BPU_01
3176,1MG_KSR_01
3177,1MG_VKG_01
3178,1MG_LCT_01
3179,1MG_DKH_01
3180,1MG_PNP_01
3181,1MG_BPN_01
3182,1MG_CRP_01
3183,1MG_BDC_01
3184,1MG_RNS_01
3185,Not Live
3185,1MG_ABN_01
3186,1MG_RJP_01
3187,1MG_INI_01
3188,1MG_EMR_01
3189,1MG_RBR_01
3190,1MG_TPR_01
3191,1MG_KPR_01
3191,1MG_JKP_01
3192,1MG_BBR_01
3193,1MG_DMM_01
3194,1MG_RCV_01
3195,1MG_ASE_01
3197,1MG_KCS_01
3198,1MG_MMR_01
3199,1MG_SBP_01
3200,1MG_KGR_01
3201,1MG_ACA_01
3202,1MG_BLB_01
3203,1MG_PAI_01
3204,1MG_SHS_01
3206,1MG_AHI_01
3207,1MG_HDP_01
3208,1MG_RHC_01
3209,1MG_OPM_01
3210,1MG_VCK_01
3211,1MG_MHN_01
3212,1MG_CRS_01
3213,1MG_KCH_01
3215,1MG_BRD_01
3216,1MG_PCN_01
3217,1MG_DRM_01
3218,1MG_MRB_01
3219,1MG_MDM_01
3220,1MG_TNJ_01
3221,1MG_MCG_01
3223,1MG_RKN_01
3224,1MG_BLM_01
3225,1MG_LDA_01
3227,1MG_SHB_01
3228,1MG_BKB_01
3229,1MG_DOM_01
3231,1MG_MGU_01
3232,1MG_JOY_01
3233,1MG_MUN_01
3234,1MG_GHP_01
3235,1MG_PIP_01
3236,1MG_MTI_01
3237,1MG_TNM_01
3238,1MG_AZT_01
3239,1MG_HMR_01
3240,1MG_NRM_01
3241,1MG_HAC_01
3242,1MG_HHC_01
3243,1MG_RLJ_01
3244,1MG_NHR_01
3245,1MG_SAJ_01
3247,1MG_VNS_01
3248,1MG_VKH_01
3249,1MG_NWA_01
3250,1MG_NIP_01
3252,1MG_SGP_01
3253,1MG_MDC_01
3254,1MG_CBM_01
3256,1MG_KSI_01
3257,1MG_JYB_01
3259,1MG_BDW_01
3264,1MG_CCB_01
3265,1MG_GNS_01
3267,1MG_SBG_01
3270,1MG_JMS_01
3271,1MG_BKA_01
3273,1MG_BWM_01
3276,1MG_MYG_01
3277,1MG_UEB_01